Territory,ISO-3166-2,ISO-3166-3,ccTLD,Status
Algeria ,DZ,DZA,.dz,done
Angola ,AO,AGO,.ao,done
Benin ,BJ,BEN,.bj,done
Botswana ,BW,BWA,.bw,done
Burkina Faso ,BF,BFA,.bf,done
Burundi ,BI,BDI,.bi,done
Cameroon ,CM,CMR,.cm,done
Central African Republic ,CF,CAF,.cf,done
Congo ,CG,COG,.cg,done
Dem. Republic of the Congo ,CD,COD,.cd,done
Djibouti ,DJ,DJI,.dj,done
Egypt ,EG,EGY,.eg,done
Ethiopia ,ET,ETH,.et,done
Gabon Republic ,GA,GAB,.ga,done
Gambia ,GM,GMB,.gm,done
Ghana ,GH,GHA,.gh,done
Guinea ,GN,GIN,.gn,done
Guinea-Bissau ,GW,GNB,.gw,done
Ivory Coast ,CI,CIV,.ci,done
Kenya ,KE,KEN,.ke,done
Lesotho ,LS,LSO,.ls,done
Liberia ,LR,LBR,.lr,done
Libya ,LY,LBY,.ly,done
Madagascar ,MG,MDG,.mg,done
Malawi ,MW,MWI,.mw,done
Mali Republic ,ML,MLI,.ml,done
Mauritania ,MR,MRT,.mr,done
Mauritius ,MU,MUS,.mu,done
Morocco ,MA,MAR,.ma,done
Mozambique ,MZ,MOZ,.mz,done
Namibia ,NA,NAM,.na,done
Niger Republic ,NE,NER,.ne,done
Nigeria ,NG,NGA,.ng,done
Rwanda ,RW,RWA,.rw,done
Senegal Republic ,SN,SEN,.sn,done
Sierra Leone ,SL,SLE,.sl,done
Somalia Republic ,SO,SOM,.so,done
South Sudan ,SS,SSD,.ss,done
Sudan ,SD,SDN,.sd,done
Tanzania ,TZ,TZA,.tz,done
Togo ,TG,TGO,.tg,done
Tunisia ,TN,TUN,.tn,done
Uganda ,UG,UGA,.ug,done
Zambia ,ZM,ZMB,.zm,done
Zimbabwe ,ZW,ZWE,.zw,done
Cape Verde Islands ,CV,CPV,.cv,done
Chad Republic ,TD,TCD,.td,done
Equatorial Guinea ,GQ,GNQ,.gq,done
Eritrea ,ER,ERI,.er,done
South Africa ,ZA,ZAF,.za,done
Comoros ,KM,COM,.km,done
Syria,SYR,,,done
Jordan,JOR,,,done
Lebanon ,LBN,,,done
Colombia,COL,,,done
Iraq,IRQ,,,done
Nepal,NPL,,,
