,Country,iso3,Status
0,Afghanistan,AFG,200
1,Albania,ALB,200
2,Algeria,DZA,200
3,Andorra,AND,200
4,Angola,AGO,200
5,Anguilla,AIA,200
6,Antigua and Barbuda,ATG,200
7,Argentina,ARG,200
8,Armenia,ARM,200
10,Australia,AUS,200
11,Austria,AUT,200
12,Azerbaijan,AZE,200
14,Bahrain,BHR,200
15,Bangladesh,BGD,200
16,Barbados,BRB,200
17,Belarus,BLR,200
18,Belgium,BEL,200
19,Belize,BLZ,200
20,Benin,BEN,200
21,Bermuda,BMU,200
22,Bhutan,BTN,200
23,Bolivia,BOL,200
24,Bosnia and Herzegovina,BIH,200
25,Botswana,BWA,200
26,Brazil,BRA,200
27,British Indian Ocean Territory,IOT,200
28,British Virgin Islands,VGB,200
29,Bulgaria,BGR,200
30,Burkina Faso,BFA,200
31,Burundi,BDI,200
33,Cambodia,KHM,200
34,Cameroon,CMR,200
35,Canada,CAN,200
36,Cayman Islands,CYM,200
37,Central African Republic,CAF,200
38,Chad,TCD,200
39,Chile,CHL,200
40,China,CHN,200
41,Colombia,COL,200
42,Comoros,COM,200
44,Cook Islands,COK,200
45,Costa Rica,CRI,200
46,Ivory Coast,CIV,200
47,Croatia,HRV,200
48,Cuba,CUB,200
49,Cyprus,CYP,200
50,Czechia,CZE,200
51,Democratic Republic of the Congo,COD,200
52,Denmark,DNK,200
53,Djibouti,DJI,200
54,Dominica,DMA,200
55,Dominican Republic,DOM,200
56,Ecuador,ECU,200
57,Egypt,EGY,200
58,El Salvador,SLV,200
59,Equatorial Guinea,GNQ,200
60,Eritrea,ERI,200
61,Estonia,EST,200
62,Ethiopia,ETH,200
63,Faroe Islands,FRO,200
64,Fiji,FJI,200
65,Finland,FIN,200
66,Gabon,GAB,200
68,Georgia,GEO,200
69,Ghana,GHA,200
70,Gibraltar,GIB,200
71,Greece,GRC,200
72,Greenland,GRL,200
73,Grenada,GRD,200
75,Guatemala,GTM,200
76,Guernsey,GGY,200
77,Guinea,GIN,200
78,Guinea-Bissau,GNB,200
79,Guyana,GUY,200
80,Haiti,HTI,200
81,Honduras,HND,200
82,Hungary,HUN,200
83,Iceland,ISL,200
84,Indonesia,IDN,200
85,Iran,IRN,200
86,Iraq,IRQ,200
87,Ireland,IRL,200
88,Isle of Man,IMN,200
89,Israel,ISR,200
90,Italy,ITA,200
91,Jamaica,JAM,200
92,Japan,JPN,200
93,Jersey,JEY,200
94,Jordan,JOR,200
95,Kazakhstan,KAZ,200
96,Kenya,KEN,200
97,Kiribati,KIR,200
98,Kuwait,KWT,200
99,Kyrgyzstan,KGZ,200
100,Latvia,LVA,200
101,Lebanon,LBN,200
102,Lesotho,LSO,200
103,Liberia,LBR,200
104,Libya,LBY,200
105,Liechtenstein,LIE,200
106,Lithuania,LTU,200
107,Luxembourg,LUX,200
108,Madagascar,MDG,200
109,Malawi,MWI,200
110,Malaysia,MYS,200
111,Maldives,MDV,200
112,Mali,MLI,200
113,Malta,MLT,200
114,Marshall Islands,MHL,200
116,Mauritania,MRT,200
117,Mauritius,MYT,200
118,Mexico,FSM,200
119,Monaco,MCO,200
120,Mongolia,MNG,200
121,Montenegro,MNE,200
122,Montserrat,MSR,200
123,Morocco,MAR,200
124,Mozambique,MOZ,200
125,Myanmar,MMR,200
126,Namibia,NAM,200
127,Nauru,NRU,200
128,Nepal,NPL,200
129,Netherlands,NCL,200
130,New Zealand,NZL,200
131,Nicaragua,NIC,200
132,Niger,NER,200
133,Nigeria,NGA,200
134,Niue,MNP,200
135,Norway,NOR,200
136,Oman,OMN,200
137,Pakistan,PAK,200
138,Palau,PLW,200
139,Palestinian Territories,PSE,200
140,Panama,PAN,200
141,Papua New Guinea,PNG,200
142,Paraguay,PRY,200
143,Peru,PER,200
144,Philippines,PHL,200
145,Poland,POL,200
146,Portugal,PRT,200
148,Qatar,QAT,200
149,Romania,ROU,200
150,Rwanda,RWA,200
151,Saint Kitts and Nevis,KNA,200
152,Saint Lucia,SPM,200
153,Saint Vincent and The Grenadines,VCT,200
154,Samoa,WSM,200
155,San Marino,STP,200
156,Saudi Arabia,SAU,200
157,Senegal,SEN,200
158,Serbia,SRB,200
159,Seychelles,SYC,200
160,Sierra Leone,SLE,200
161,Singapore,SXM,200
162,Slovakia,SVK,200
163,Slovenia,SVN,200
164,Solomon Islands,SLB,200
165,Somalia,SOM,200
166,South Africa,ZAF,200
167,South Georgia and the South Sandwich Islands,SGS,200
168,South Sudan,SSD,200
169,Spain,ESP,200
170,Sri Lanka,PSE,200
171,Sudan,SDN,200
172,Suriname,SWZ,200
173,Sweden,SWE,200
174,Switzerland,CHE,200
176,Tajikistan,TZA,200
177,Tanzania,TJK,200
178,Thailand,TLS,200
179,Togo,TGO,200
180,Tokelau,TKL,200
181,Tonga,TON,200
182,Trinidad and Tobago,TTO,200
183,Tunisia,TUN,200
184,Turkey,TUR,200
185,Turkmenistan,TKM,200
186,Turks and Caicos Islands,TCA,200
187,Tuvalu,TUV,200
188,Uganda,UGA,200
189,Ukraine,UKR,200
190,United Arab Emirates,ARE,200
191,Uruguay,URY,200
192,Uzbekistan,UZB,200
193,Vanuatu,VUT,200
194,Venezuela,VEN,200
195,Yemen,YEM,200
196,Zambia,ZMB,200
197,Zimbabwe,ZWE,200
